[2026/08/24 22:08:56] Success (CreateExcel) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv
[2026/08/24 22:12:51] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,45,20260824,22:12:51,,,,,,Standby,99,等待中
[2026/08/24 22:12:53] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,60,2026/08/24,22:12:53,停止中
[2026/08/24 22:12:53] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,46,20260824,22:12:53,,,,,,Quit,100,停止中
[2026/08/24 22:12:58] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,61,2026/08/24,22:12:58,停機故障
[2026/08/24 22:13:01] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,62,2026/08/24,22:13:01,分析中
[2026/08/24 22:13:01] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,47,20260824,22:13:01,,,,,,Working,0,分析中
[2026/08/24 22:13:06] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,63,2026/08/24,22:13:06,等待中
[2026/08/24 22:13:06] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,48,20260824,22:13:06,,,,,,Standby,99,等待中
[2026/08/24 22:13:09] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,64,2026/08/24,22:13:09,停止中
[2026/08/24 22:13:09] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,49,20260824,22:13:09,,,,,,Quit,100,停止中
[2026/08/24 22:13:14] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,65,2026/08/24,22:13:14,停機故障
[2026/08/24 22:13:17] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,66,2026/08/24,22:13:17,分析中
[2026/08/24 22:13:17] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,50,20260824,22:13:17,,,,,,Working,0,分析中
